table_name,column_name,field_class,derivation_rule,source_reference
dwd_air_temperature,QN_9,source_provided,typed cast,dwd contract / business-name mapping
dwd_air_temperature,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_air_temperature,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_air_temperature,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_air_temperature,_silver_run_id,derived,the Silver run id,silver governance
dwd_air_temperature,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_air_temperature,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_air_temperature,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_air_temperature,air_temperature_2m,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_air_temperature,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_air_temperature,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_air_temperature,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_air_temperature,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_air_temperature,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_air_temperature,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_air_temperature,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_air_temperature,relative_humidity_2m,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_air_temperature,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_air_temperature,source_system,derived,constant per source,silver governance
dwd_city_bundesland_xref,ags_code,derived,curated 28-station city -> Bundesland AGS,geography attribution
dwd_city_bundesland_xref,ags_level,derived,'bundesland',geography attribution limit
dwd_city_bundesland_xref,bundesland_name,derived,curated 28-station city -> Bundesland,geography attribution
dwd_city_bundesland_xref,city,source_provided,DWD station folder name,dwd contract station_set
dwd_cloud_type,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloud_type,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloud_type,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_cloud_type,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_cloud_type,_silver_run_id,derived,the Silver run id,silver governance
dwd_cloud_type,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_cloud_type,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_cloud_type,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_cloud_type,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloud_type,cloud_cover_observation_method,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer1_base_height,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer1_cover,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer1_genus_abbrev,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer1_genus_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer2_base_height,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer2_cover,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer2_genus_abbrev,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer2_genus_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer3_base_height,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer3_cover,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer3_genus_abbrev,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer3_genus_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer4_base_height,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer4_cover,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer4_genus_abbrev,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,cloud_layer4_genus_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloud_type,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_cloud_type,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloud_type,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
